Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year,,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange
0,0.127,0.123,0.016,0.01,0.032,0.102,0.129,0.073,0.388,0,smoothed,2009,,0.0127,0.0123,0.0016,0.001,0.0032,0.0102,0.0129,0.0073,0.0388,0
1,0.151,0.129,0.018,0.011,0.026,0.094,0.115,0.074,0.382,0,smoothed,2009,,0.0151,0.0129,0.0018,0.0011,0.0026,0.0094,0.0115,0.0074,0.0382,0
2,0.211,0.111,0.022,0.015,0.024,0.054,0.083,0.07,0.409,0,smoothed,2009,,0.0211,0.0111,0.0022,0.0015,0.0024,0.0054,0.0083,0.007,0.0409,0
3,0.249,0.133,0.028,0.021,0.014,0.057,0.084,0.057,0.355,0,smoothed,2009,,0.0249,0.0133,0.0028,0.0021,0.0014,0.0057,0.0084,0.0057,0.0355,0
4,0.277,0.134,0.036,0.022,0.014,0.046,0.086,0.05,0.336,0,smoothed,2009,,0.0277,0.0134,0.0036,0.0022,0.0014,0.0046,0.0086,0.005,0.0336,0
5,0.271,0.144,0.04,0.019,0.016,0.043,0.093,0.047,0.327,0,smoothed,2009,,0.0271,0.0144,0.004,0.0019,0.0016,0.0043,0.0093,0.0047,0.0327,0
6,0.273,0.147,0.049,0.017,0.015,0.042,0.103,0.043,0.312,0,smoothed,2009,,0.0273,0.0147,0.0049,0.0017,0.0015,0.0042,0.0103,0.0043,0.0312,0
7,0.274,0.16,0.056,0.016,0.014,0.037,0.108,0.035,0.3,0,smoothed,2009,,0.0274,0.016,0.0056,0.0016,0.0014,0.0037,0.0108,0.0035,0.03,0
8,0.29,0.16,0.062,0.016,0.013,0.038,0.094,0.034,0.294,0,smoothed,2009,,0.029,0.016,0.0062,0.0016,0.0013,0.0038,0.0094,0.0034,0.0294,0
9,0.292,0.166,0.067,0.016,0.016,0.034,0.098,0.031,0.279,0,smoothed,2009,,0.0292,0.0166,0.0067,0.0016,0.0016,0.0034,0.0098,0.0031,0.0279,0
10,0.285,0.157,0.062,0.018,0.018,0.038,0.11,0.034,0.279,0,smoothed,2009,,0.0285,0.0157,0.0062,0.0018,0.0018,0.0038,0.011,0.0034,0.0279,0
11,0.266,0.16,0.065,0.019,0.017,0.035,0.13,0.033,0.274,0,smoothed,2009,,0.0266,0.016,0.0065,0.0019,0.0017,0.0035,0.013,0.0033,0.0274,0
