Percentile,Medicaid,Medicare,Medicare+Medicaid,CHIP,Military,Direct Purchase,Employer,Other,Uninsured,Subsidized Exchange,type,year
0,0.0127,0.0123,0.0016,0.001,0.0032,0.0102,0.0129,0.0073,0.0388,0,smoothed,2009
1,0.0151,0.0129,0.0018,0.0011,0.0026,0.0094,0.0115,0.0074,0.0382,0,smoothed,2009
2,0.0211,0.0111,0.0022,0.0015,0.0024,0.0054,0.0083,0.007,0.0409,0,smoothed,2009
3,0.0249,0.0133,0.0028,0.0021,0.0014,0.0057,0.0084,0.0057,0.0355,0,smoothed,2009
4,0.0277,0.0134,0.0036,0.0022,0.0014,0.0046,0.0086,0.005,0.0336,0,smoothed,2009
5,0.0271,0.0144,0.004,0.0019,0.0016,0.0043,0.0093,0.0047,0.0327,0,smoothed,2009
6,0.0273,0.0147,0.0049,0.0017,0.0015,0.0042,0.0103,0.0043,0.0312,0,smoothed,2009
7,0.0274,0.016,0.0056,0.0016,0.0014,0.0037,0.0108,0.0035,0.03,0,smoothed,2009
8,0.029,0.016,0.0062,0.0016,0.0013,0.0038,0.0094,0.0034,0.0294,0,smoothed,2009
9,0.0292,0.0166,0.0067,0.0016,0.0016,0.0034,0.0098,0.0031,0.0279,0,smoothed,2009
10,0.0285,0.0157,0.0062,0.0018,0.0018,0.0038,0.011,0.0034,0.0279,0,smoothed,2009
11,0.0266,0.016,0.0065,0.0019,0.0017,0.0035,0.013,0.0033,0.0274,0,smoothed,2009
12,0.0263,0.0164,0.0054,0.0021,0.0015,0.0032,0.0138,0.0033,0.028,0,smoothed,2009
13,0.026,0.0169,0.0054,0.002,0.0013,0.0031,0.0144,0.003,0.0278,0,smoothed,2009
14,0.0261,0.0177,0.0052,0.0019,0.0016,0.0028,0.0149,0.0032,0.0267,0,smoothed,2009
15,0.026,0.0175,0.0054,0.0017,0.0017,0.0027,0.0157,0.0033,0.026,0,smoothed,2009
16,0.0259,0.0169,0.0051,0.0022,0.0018,0.0026,0.0167,0.0031,0.0257,0,smoothed,2009
