President,Approval,Demographic,WeeksInOffice
Truman,61,OwnParty,433
Truman,46,OwnParty,524
Truman,51,OwnParty,588
Truman,61,OwnParty,650
Truman,68,OwnParty,748
Truman,76,OwnParty,776
Truman,69,OwnParty,804
Truman,76,OwnParty,818
Truman,64,OwnParty,888
Truman,72,OwnParty,964
Truman,70,OwnParty,1000
Truman,50,OwnParty,1098
Truman,75,OwnParty,1429
Truman,69,OwnParty,1487
Truman,71,OwnParty,1634
Truman,65,OwnParty,1737
Truman,54,OwnParty,1786
Truman,56,OwnParty,1853
Truman,55,OwnParty,1884
Truman,66,OwnParty,1919
Truman,59,OwnParty,1940
Truman,56,OwnParty,1961
Truman,55,OwnParty,1989
Truman,52,OwnParty,2003
Truman,54,OwnParty,2010
Truman,60,OwnParty,2022
Truman,51,OwnParty,2066
Truman,41,OwnParty,2129
Truman,41,OwnParty,2157
Truman,41,OwnParty,2179
Truman,35,OwnParty,2200
Truman,40,OwnParty,2233
Truman,41,OwnParty,2261
Truman,43,OwnParty,2283
Truman,48,OwnParty,2309
Truman,51,OwnParty,2358
Truman,48,OwnParty,2381
Truman,42,OwnParty,2409
Truman,42,OwnParty,2465
Truman,41,OwnParty,2479
Truman,44,OwnParty,2499
Truman,47,OwnParty,2563
Truman,46,OwnParty,2591
Truman,52,OwnParty,2610
Truman,48,OwnParty,2626
Truman,51,OwnParty,2654
Truman,50,OwnParty,2736
Truman,44,OwnParty,2742
Truman,50,OwnParty,2805
Truman,31,OppositeParty,433
Truman,21,OppositeParty,524
Truman,23,OppositeParty,588
Truman,41,OppositeParty,650
Truman,50,OppositeParty,748
Truman,57,OppositeParty,776
Truman,41,OppositeParty,804
Truman,43,OppositeParty,818
Truman,43,OppositeParty,888
Truman,34,OppositeParty,964
Truman,35,OppositeParty,1000
Truman,26,OppositeParty,1098
Truman,32,OppositeParty,1429
Truman,25,OppositeParty,1487
Truman,26,OppositeParty,1634
Truman,22,OppositeParty,1737
